wait_minutes,channel,resolved
17,chat,False
18,email,True
19,email,True
20,email,False
21,email,True
22,chat,True
23,email,False
24,email,True
17,email,True
18,email,False
19,chat,True
20,email,True
21,email,False
22,email,True
23,email,True
24,chat,False
17,email,True
18,email,True
19,email,False
20,email,True
21,chat,True
22,email,False
23,email,True
24,email,True
17,email,False
18,chat,True
19,email,True
20,email,False
21,email,True
22,email,True
23,chat,False
24,email,True
17,email,True
18,email,False
19,email,True
20,chat,True
21,email,False
22,email,True
23,email,True
24,email,False
