wait_minutes,channel,resolved
8,chat,False
9,email,True
10,chat,True
11,email,False
12,chat,True
13,email,True
14,chat,False
8,email,True
9,chat,True
10,email,False
11,chat,True
12,email,True
13,chat,False
14,email,True
8,chat,True
9,email,False
10,chat,True
11,email,True
12,chat,False
13,email,True
14,chat,True
8,email,False
9,chat,True
10,email,True
11,chat,False
12,email,True
13,chat,True
14,email,False
8,chat,True
9,email,True
10,chat,False
11,email,True
12,chat,True
13,email,False
14,chat,True
8,email,True
9,chat,False
10,email,True
11,chat,True
12,email,False
